10.10.0.1,2,10.10.0.2,7
10.10.0.1,3,10.10.0.3,9
10.10.0.1,4,10.10.0.4,1
10.10.0.1,6,10.10.0.5,9
10.10.0.1,7,10.10.0.6,9
10.10.0.1,8,10.10.0.7,9
10.10.0.1,9,10.10.0.8,9
10.10.0.1,10,10.10.0.9,9
10.10.0.1,12,10.10.0.10,9
10.10.0.1,13,10.10.0.11,9
10.10.0.1,16,10.10.0.12,9
10.10.0.1,19,10.10.0.13,7
10.10.0.1,20,10.10.0.14,21
10.10.0.1,21,10.10.0.15,3
10.10.0.1,22,10.10.0.16,9
10.10.0.2,10,10.10.0.17,25
10.10.0.2,11,10.10.0.18,25
10.10.0.2,12,10.10.0.19,25
10.10.0.2,13,10.10.0.20,25
10.10.0.2,14,10.10.0.21,25
10.10.0.2,15,10.10.0.22,25
10.10.0.2,16,10.10.0.23,25
10.10.0.2,17,10.10.0.24,25
10.10.0.2,18,10.10.0.25,25
10.10.0.2,19,10.10.0.26,25
10.10.0.2,20,10.10.0.27,25
10.10.0.2,21,10.10.0.28,25
10.10.0.2,22,10.10.0.29,25
10.10.0.2,23,10.10.0.30,25
10.10.0.2,24,10.10.0.31,25
10.10.0.3,3,10.10.0.32,25
10.10.0.3,4,10.10.0.33,25
10.10.0.3,7,10.10.0.34,26
10.10.0.3,12,10.10.0.35,25
10.10.0.3,13,10.10.0.36,25
10.10.0.3,14,10.10.0.37,25
10.10.0.3,15,10.10.0.38,25
10.10.0.3,16,10.10.0.39,25
10.10.0.3,17,10.10.0.40,25
10.10.0.3,18,10.10.0.41,25
10.10.0.3,19,10.10.0.42,25
10.10.0.3,20,10.10.0.43,26
10.10.0.3,24,10.10.0.44,9
10.10.0.4,2,10.10.0.45,9
10.10.0.4,3,10.10.0.46,25
10.10.0.4,4,10.10.0.47,25
10.10.0.4,13,10.10.0.48,9
10.10.0.4,15,10.10.0.49,25
10.10.0.4,16,10.10.0.50,9
10.10.0.4,17,10.10.0.51,25
10.10.0.4,19,10.10.0.52,9
10.10.0.4,20,10.10.0.53,25
10.10.0.4,21,10.10.0.54,25
10.10.0.4,22,10.10.0.55,25
10.10.0.4,23,10.10.0.56,25
10.10.0.4,24,10.10.0.57,25
10.10.0.5,7,10.10.0.58,26
10.10.0.5,13,10.10.0.59,9
10.10.0.5,14,10.10.0.60,25
10.10.0.5,15,10.10.0.61,25
10.10.0.5,16,10.10.0.62,25
10.10.0.5,17,10.10.0.63,25
10.10.0.5,18,10.10.0.64,25
10.10.0.5,19,10.10.0.65,25
10.10.0.5,20,10.10.0.66,25
10.10.0.5,21,10.10.0.67,25
10.10.0.5,22,10.10.0.68,25
10.10.0.5,23,10.10.0.69,25
10.10.0.5,24,10.10.0.70,25
10.10.0.6,7,10.10.0.71,25
10.10.0.6,8,10.10.0.72,25
10.10.0.6,10,10.10.0.73,25
10.10.0.6,11,10.10.0.74,25
10.10.0.6,12,10.10.0.75,25
10.10.0.6,13,10.10.0.76,25
10.10.0.6,14,10.10.0.77,26
10.10.0.6,15,10.10.0.78,25
10.10.0.6,16,10.10.0.79,25
10.10.0.6,17,10.10.0.80,25
10.10.0.6,18,10.10.0.81,25
10.10.0.6,19,10.10.0.82,25
10.10.0.6,20,10.10.0.83,25
10.10.0.6,21,10.10.0.84,25
10.10.0.6,22,10.10.0.85,25
10.10.0.6,23,10.10.0.86,25
10.10.0.6,24,10.10.0.87,25
10.10.0.7,10,10.10.0.88,25
10.10.0.7,11,10.10.0.89,24
10.10.0.7,12,10.10.0.90,25
10.10.0.7,14,10.10.0.91,21
10.10.0.7,15,10.10.0.92,7
10.10.0.8,2,10.10.0.93,25
10.10.0.8,7,10.10.0.94,25
10.10.0.8,10,10.10.0.95,25
10.10.0.8,11,10.10.0.96,25
10.10.0.8,12,10.10.0.97,25
10.10.0.8,13,10.10.0.98,26
10.10.0.8,14,10.10.0.99,25
10.10.0.8,15,10.10.0.100,25
10.10.0.8,16,10.10.0.101,25
10.10.0.8,17,10.10.0.102,25
10.10.0.8,18,10.10.0.103,25
10.10.0.8,19,10.10.0.104,25
10.10.0.8,20,10.10.0.105,25
10.10.0.8,21,10.10.0.106,25
10.10.0.8,22,10.10.0.107,25
10.10.0.8,23,10.10.0.108,25
10.10.0.8,24,10.10.0.109,25
10.10.0.9,1,10.10.0.110,26
10.10.0.9,2,10.10.0.111,25
10.10.0.9,4,10.10.0.112,25
10.10.0.9,7,10.10.0.113,27
10.10.0.9,8,10.10.0.114,26
10.10.0.9,10,10.10.0.115,26
10.10.0.9,11,10.10.0.116,26
10.10.0.9,13,10.10.0.117,25
10.10.0.9,14,10.10.0.118,9
10.10.0.9,15,10.10.0.119,26
10.10.0.9,16,10.10.0.120,25
10.10.0.9,17,10.10.0.121,25
10.10.0.9,18,10.10.0.122,25
10.10.0.9,19,10.10.0.123,26
10.10.0.9,20,10.10.0.124,25
10.10.0.9,21,10.10.0.125,25
10.10.0.9,22,10.10.0.126,25
10.10.0.9,24,10.10.0.127,25
10.10.0.10,11,10.10.0.128,25
10.10.0.10,12,10.10.0.129,25
10.10.0.10,13,10.10.0.130,25
10.10.0.10,14,10.10.0.131,25
10.10.0.10,15,10.10.0.132,25
10.10.0.10,16,10.10.0.133,25
10.10.0.10,18,10.10.0.134,25
10.10.0.10,19,10.10.0.135,25
10.10.0.10,20,10.10.0.136,25
10.10.0.10,21,10.10.0.137,25
10.10.0.10,22,10.10.0.138,25
10.10.0.10,23,10.10.0.139,25
10.10.0.10,24,10.10.0.140,25
10.10.0.11,1,10.10.0.141,25
10.10.0.11,2,10.10.0.142,26
10.10.0.11,3,10.10.0.143,25
10.10.0.11,4,10.10.0.144,25
10.10.0.11,5,10.10.0.145,25
10.10.0.11,8,10.10.0.146,25
10.10.0.11,10,10.10.0.147,25
10.10.0.11,11,10.10.0.148,25
10.10.0.11,12,10.10.0.149,25
10.10.0.11,13,10.10.0.150,25
10.10.0.12,2,10.10.0.151,25
10.10.0.12,3,10.10.0.152,26
10.10.0.12,4,10.10.0.153,25
10.10.0.12,7,10.10.0.154,25
10.10.0.12,8,10.10.0.155,1
10.10.0.12,10,10.10.0.156,25
10.10.0.14,1,10.10.0.157,25
10.10.0.14,9,10.10.0.158,26
10.10.0.14,13,10.10.0.159,25
10.10.0.14,15,10.10.0.160,25
10.10.0.14,17,10.10.0.161,25
10.10.0.14,18,10.10.0.162,25
10.10.0.14,19,10.10.0.163,25
10.10.0.14,22,10.10.0.164,25
10.10.0.14,23,10.10.0.165,25
10.10.0.14,24,10.10.0.166,25
10.10.0.15,1,10.10.0.167,25
10.10.0.15,2,10.10.0.168,25
10.10.0.15,5,10.10.0.169,25
10.10.0.15,6,10.10.0.170,25
10.10.0.15,8,10.10.0.171,25
10.10.0.15,9,10.10.0.172,25
10.10.0.15,10,10.10.0.173,9
10.10.0.15,11,10.10.0.174,25
10.10.0.15,12,10.10.0.175,25
10.10.0.15,13,10.10.0.176,25
10.10.0.15,14,10.10.0.177,9
10.10.0.15,15,10.10.0.178,25
10.10.0.15,16,10.10.0.179,26
10.10.0.15,17,10.10.0.180,25
10.10.0.15,18,10.10.0.181,25
10.10.0.15,20,10.10.0.182,25
10.10.0.15,21,10.10.0.183,26
10.10.0.15,22,10.10.0.184,26
10.10.0.15,23,10.10.0.185,26
10.10.0.15,24,10.10.0.186,25
10.10.0.16,1,10.10.0.187,26
10.10.0.16,2,10.10.0.188,26
10.10.0.16,3,10.10.0.189,26
10.10.0.16,4,10.10.0.190,26
10.10.0.16,5,10.10.0.191,25
10.10.0.16,6,10.10.0.192,25
10.10.0.16,7,10.10.0.193,25
10.10.0.16,10,10.10.0.194,26
10.10.0.16,11,10.10.0.195,26
10.10.0.16,12,10.10.0.196,26
10.10.0.16,13,10.10.0.197,25
10.10.0.16,14,10.10.0.198,25
10.10.0.16,15,10.10.0.199,26
10.10.0.16,16,10.10.0.200,25
10.10.0.16,17,10.10.0.201,25
10.10.0.16,18,10.10.0.202,25
10.10.0.16,19,10.10.0.203,25
10.10.0.16,20,10.10.0.204,25
10.10.0.16,21,10.10.0.205,25
10.10.0.16,22,10.10.0.206,25
10.10.0.16,23,10.10.0.207,25
10.10.0.16,24,10.10.0.208,26
10.10.0.17,26,10.10.0.209,26
10.10.0.18,26,10.10.0.210,25
10.10.0.19,26,10.10.0.211,25
10.10.0.20,26,10.10.0.212,25
10.10.0.21,26,10.10.0.213,25
10.10.0.22,26,10.10.0.214,25
10.10.0.23,26,10.10.0.215,25
10.10.0.24,26,10.10.0.216,25
10.10.0.25,26,10.10.0.217,25
10.10.0.26,26,10.10.0.218,25
10.10.0.27,26,10.10.0.219,25
10.10.0.28,26,10.10.0.220,25
10.10.0.29,26,10.10.0.221,26
10.10.0.31,26,10.10.0.222,25
10.10.0.36,26,10.10.0.223,26
10.10.0.38,26,10.10.0.224,25
10.10.0.39,26,10.10.0.225,25
10.10.0.43,25,10.10.0.226,25
10.10.0.44,1,10.10.0.227,25
10.10.0.44,15,10.10.0.228,25
10.10.0.44,17,10.10.0.229,25
10.10.0.44,20,10.10.0.230,25
10.10.0.44,21,10.10.0.231,25
10.10.0.44,22,10.10.0.232,25
10.10.0.44,24,10.10.0.233,25
10.10.0.52,10,10.10.0.234,25
10.10.0.58,25,10.10.0.235,25
10.10.0.65,26,10.10.0.236,25
10.10.0.66,26,10.10.0.237,25
10.10.0.69,26,10.10.0.238,25
10.10.0.72,26,10.10.0.239,25
10.10.0.75,26,10.10.0.240,25
10.10.0.76,26,10.10.0.241,25
10.10.0.77,25,10.10.0.242,25
10.10.0.80,26,10.10.0.243,25
10.10.0.85,26,10.10.0.244,25
10.10.0.86,26,10.10.0.245,25
10.10.0.89,1,10.10.0.246,25
10.10.0.89,2,10.10.0.247,25
10.10.0.89,17,10.10.0.248,26
10.10.0.89,18,10.10.0.249,25
10.10.0.89,20,10.10.0.250,25
10.10.0.90,26,10.10.0.251,25
10.10.0.93,26,10.10.0.252,25
10.10.0.94,26,10.10.0.253,25
10.10.0.95,26,10.10.0.254,25
10.10.0.96,26,10.10.1.1,25
10.10.0.97,26,10.10.1.1,25
10.10.0.98,25,10.10.1.1,26
10.10.0.99,26,10.10.1.2,25
10.10.0.100,26,10.10.1.3,25
10.10.0.101,26,10.10.1.4,25
10.10.0.102,26,10.10.1.5,25
10.10.0.103,26,10.10.1.6,25
10.10.0.104,26,10.10.1.7,25
10.10.0.107,26,10.10.1.8,25
10.10.0.108,26,10.10.1.9,25
10.10.0.109,26,10.10.1.10,25
10.10.0.110,25,10.10.1.11,28
10.10.0.111,26,10.10.1.12,25
10.10.0.113,25,10.10.1.13,26
10.10.0.114,25,10.10.1.14,26
10.10.0.115,25,10.10.1.15,25
10.10.0.116,25,10.10.1.16,25
10.10.0.117,26,10.10.1.17,25
10.10.0.118,1,10.10.1.18,26
10.10.0.118,10,10.10.1.19,25
10.10.0.118,11,10.10.1.20,25
10.10.0.118,12,10.10.1.21,25
10.10.0.118,13,10.10.1.22,25
10.10.0.118,14,10.10.1.23,25
10.10.0.118,15,10.10.1.24,25
10.10.0.118,16,10.10.1.25,25
10.10.0.118,17,10.10.1.26,25
10.10.0.119,25,10.10.1.27,26
10.10.0.120,26,10.10.1.28,25
10.10.0.121,26,10.10.1.29,25
10.10.0.122,26,10.10.1.30,25
10.10.0.123,25,10.10.1.31,25
10.10.0.124,26,10.10.1.32,25
10.10.0.125,26,10.10.1.33,25
10.10.0.127,26,10.10.1.34,25
10.10.0.131,26,10.10.1.35,25
10.10.0.132,26,10.10.1.36,25
10.10.0.133,26,10.10.1.37,25
10.10.0.134,26,10.10.1.38,25
10.10.0.135,26,10.10.1.39,25
10.10.0.139,26,10.10.1.40,25
10.10.0.140,26,10.10.1.41,25
10.10.0.142,25,10.10.1.42,25
10.10.0.144,26,10.10.1.43,25
10.10.0.148,26,10.10.1.44,25
10.10.0.149,26,10.10.1.45,25
10.10.0.150,26,10.10.1.46,25
10.10.0.151,26,10.10.1.47,25
10.10.0.152,25,10.10.1.48,25
10.10.0.153,26,10.10.1.49,26
10.10.0.155,21,10.10.1.50,50
10.10.0.156,26,10.10.1.51,25
10.10.0.157,26,10.10.1.52,25
10.10.0.158,25,10.10.1.53,25
10.10.0.159,26,10.10.1.54,25
10.10.0.161,26,10.10.1.55,25
10.10.0.162,26,10.10.1.56,25
10.10.0.163,26,10.10.1.57,26
10.10.0.164,26,10.10.1.58,25
10.10.0.165,26,10.10.1.59,25
10.10.0.166,26,10.10.1.60,25
10.10.0.167,26,10.10.1.61,25
10.10.0.168,26,10.10.1.62,25
10.10.0.171,26,10.10.1.63,25
10.10.0.174,26,10.10.1.64,25
10.10.0.176,26,10.10.1.65,26
10.10.0.178,26,10.10.1.66,26
10.10.0.180,26,10.10.1.67,25
10.10.0.181,26,10.10.1.68,25
10.10.0.182,26,10.10.1.69,25
10.10.0.183,25,10.10.1.70,25
10.10.0.184,25,10.10.1.71,25
10.10.0.185,25,10.10.1.72,25
10.10.0.186,26,10.10.1.73,25
10.10.0.187,25,10.10.1.74,25
10.10.0.188,25,10.10.1.75,25
10.10.0.189,25,10.10.1.76,25
10.10.0.190,25,10.10.1.77,26
10.10.0.191,26,10.10.1.78,26
10.10.0.192,26,10.10.1.79,25
10.10.0.194,25,10.10.1.80,25
10.10.0.196,25,10.10.1.81,26
10.10.0.197,26,10.10.1.82,25
10.10.0.198,26,10.10.1.83,25
10.10.0.199,25,10.10.1.84,25
10.10.0.200,26,10.10.1.85,25
10.10.0.201,26,10.10.1.86,25
10.10.0.202,26,10.10.1.87,26
10.10.0.203,26,10.10.1.88,25
10.10.0.204,26,10.10.1.89,25
10.10.0.205,26,10.10.1.90,25
10.10.0.206,26,10.10.1.91,26
10.10.0.207,26,10.10.1.92,26
10.10.0.220,26,10.10.1.93,25
10.10.0.221,25,10.10.1.94,26
10.10.0.224,26,10.10.1.95,26
10.10.0.225,26,10.10.1.96,25
10.10.0.227,26,10.10.1.97,25
10.10.0.228,26,10.10.1.98,25
10.10.0.233,26,10.10.1.99,25
10.10.0.248,27,10.10.1.100,25
10.10.0.248,28,10.10.1.101,9
10.10.0.249,26,10.10.1.102,25
10.10.0.250,26,10.10.1.103,26
10.10.0.250,27,10.10.1.104,27
10.10.0.253,26,10.10.1.105,25
10.10.1.13,25,10.10.1.106,25
10.10.1.14,25,10.10.1.107,25
10.10.1.15,26,10.10.1.108,25
10.10.1.16,26,10.10.1.109,25
10.10.1.17,26,10.10.1.110,25
10.10.1.18,25,10.10.1.111,26
10.10.1.20,26,10.10.1.112,25
10.10.1.22,26,10.10.1.113,25
10.10.1.23,26,10.10.1.114,25
10.10.1.24,26,10.10.1.115,25
10.10.1.25,26,10.10.1.116,25
10.10.1.26,26,10.10.1.117,25
10.10.1.27,25,10.10.1.118,25
10.10.1.31,26,10.10.1.119,25
10.10.1.32,26,10.10.1.120,25
10.10.1.36,26,10.10.1.121,25
10.10.1.37,26,10.10.1.122,25
10.10.1.40,26,10.10.1.123,26
10.10.1.41,26,10.10.1.124,25
10.10.1.42,26,10.10.1.125,25
10.10.1.47,26,10.10.1.126,25
10.10.1.50,49,10.10.1.127,25
10.10.1.57,25,10.10.1.128,26
10.10.1.63,26,10.10.1.129,25
10.10.1.71,26,10.10.1.130,26
10.10.1.75,26,10.10.1.131,25
10.10.1.76,26,10.10.1.132,25
10.10.1.78,25,10.10.1.133,25
10.10.1.80,26,10.10.1.134,26
10.10.1.81,25,10.10.1.135,25
10.10.1.82,26,10.10.1.136,25
10.10.1.83,26,10.10.1.137,25
10.10.1.84,26,10.10.1.138,25
10.10.1.86,26,10.10.1.139,25
10.10.1.87,25,10.10.1.140,25
10.10.1.91,25,10.10.1.141,25
10.10.1.97,26,10.10.1.142,25
10.10.1.98,26,10.10.1.143,25
10.10.1.99,26,10.10.1.144,25
10.10.1.102,26,10.10.1.145,25
10.10.1.103,28,10.10.1.146,25
10.10.1.104,25,10.10.1.147,25
10.10.1.105,26,10.10.1.148,25
10.10.1.111,25,10.10.1.149,25
10.10.1.112,26,10.10.1.150,25
10.10.1.116,26,10.10.1.151,25
10.10.1.118,26,10.10.1.152,26
10.10.1.119,26,10.10.1.153,26
10.10.1.120,26,10.10.1.154,25
10.10.1.121,26,10.10.1.155,25
10.10.1.125,26,10.10.1.156,26
10.10.1.126,26,10.10.1.157,25
10.10.1.130,25,10.10.1.158,25
10.10.1.134,25,10.10.1.159,25
10.10.1.141,26,10.10.1.160,26
10.10.1.150,26,10.10.1.161,25
10.10.1.152,25,10.10.1.162,25
10.10.1.154,26,10.10.1.163,25
10.10.1.156,25,10.10.1.164,26
